category	author	source	rating	sourcetype	rights	year	sourceid	title	body	rightsowner	webpage	minortitle	sourcelink	authorlink	dateadded	authorinfo	itemid	publisher	city	pages	authorfilename	authorwikimediapage	authorlastnamefirst	authorlastnamestrong	linkedtags	linkedtags2	sourceline	rightsline
Art	Raymond Chandler	The Simple Art of Murder	3	Book	Copyright	1945	0394757653	Vital and Significant Forms of Art	<p> Nor is it any part of my thesis to maintain that it [the detective story] is a vital and significant form of art. There are no vital and significant forms of art; there is only art, and precious little of that. The growth of populations has in no way increased the amount; it has merely increased the adeptness with which substitutes can be produced and packaged. </p>	Raymond Chandler					2006-11-30T14:29:32-08:00		54				raymond-chandler	Raymond_Chandler	Chandler, Raymond	Raymond <strong>Chandler</strong>	art.html	art.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Simple Art of Murder</cite>, <span class='datepublished'>1945</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0394757653/portablewisdo-20' class='isbn'>0394757653</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1945</span> by <span class='rightsowner'>Raymond Chandler</span>
Mystery Fiction	Raymond Chandler	The Simple Art of Murder	3	Book	Copyright	1945	0394757653	Vital and Significant Forms of Art	<p> Nor is it any part of my thesis to maintain that it [the detective story] is a vital and significant form of art. There are no vital and significant forms of art; there is only art, and precious little of that. The growth of populations has in no way increased the amount; it has merely increased the adeptness with which substitutes can be produced and packaged. </p>	Raymond Chandler					2006-11-30T14:29:32-08:00		54				raymond-chandler	Raymond_Chandler	Chandler, Raymond	Raymond <strong>Chandler</strong>	mystery-fiction.html	mystery-fiction.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Simple Art of Murder</cite>, <span class='datepublished'>1945</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0394757653/portablewisdo-20' class='isbn'>0394757653</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1945</span> by <span class='rightsowner'>Raymond Chandler</span>
Reason to Rock	Raymond Chandler	The Simple Art of Murder	3	Book	Copyright	1945	0394757653	Vital and Significant Forms of Art	<p> Nor is it any part of my thesis to maintain that it [the detective story] is a vital and significant form of art. There are no vital and significant forms of art; there is only art, and precious little of that. The growth of populations has in no way increased the amount; it has merely increased the adeptness with which substitutes can be produced and packaged. </p>	Raymond Chandler					2006-11-30T14:29:32-08:00		54				raymond-chandler	Raymond_Chandler	Chandler, Raymond	Raymond <strong>Chandler</strong>	reason-to-rock.html	reason-to-rock.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Simple Art of Murder</cite>, <span class='datepublished'>1945</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0394757653/portablewisdo-20' class='isbn'>0394757653</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1945</span> by <span class='rightsowner'>Raymond Chandler</span>
Pagan Tuna	Raymond Chandler	The Simple Art of Murder	3	Book	Copyright	1945	0394757653	Vital and Significant Forms of Art	<p> Nor is it any part of my thesis to maintain that it [the detective story] is a vital and significant form of art. There are no vital and significant forms of art; there is only art, and precious little of that. The growth of populations has in no way increased the amount; it has merely increased the adeptness with which substitutes can be produced and packaged. </p>	Raymond Chandler					2006-11-30T14:29:32-08:00		54				raymond-chandler	Raymond_Chandler	Chandler, Raymond	Raymond <strong>Chandler</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Simple Art of Murder</cite>, <span class='datepublished'>1945</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0394757653/portablewisdo-20' class='isbn'>0394757653</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1945</span> by <span class='rightsowner'>Raymond Chandler</span>
Practopian	Raymond Chandler	The Simple Art of Murder	3	Book	Copyright	1945	0394757653	Vital and Significant Forms of Art	<p> Nor is it any part of my thesis to maintain that it [the detective story] is a vital and significant form of art. There are no vital and significant forms of art; there is only art, and precious little of that. The growth of populations has in no way increased the amount; it has merely increased the adeptness with which substitutes can be produced and packaged. </p>	Raymond Chandler					2006-11-30T14:29:32-08:00		54				raymond-chandler	Raymond_Chandler	Chandler, Raymond	Raymond <strong>Chandler</strong>	practopian.html	practopian.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Simple Art of Murder</cite>, <span class='datepublished'>1945</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0394757653/portablewisdo-20' class='isbn'>0394757653</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1945</span> by <span class='rightsowner'>Raymond Chandler</span>
Politics	G. K. Chesterton	Illustrated London News	3	unknown		1924		Conservatives and Progressives	<p> The whole modern world has divided itself into Conservatives and Progressives. The business of Progressives is to go on making mistakes. The business of Conservatives is to prevent mistakes from being corrected. Even when the revolutionist might himself repent of his revolution, the traditionalist is already defending it as part of his tradition. Thus we have two great types &#8212; the advanced person who rushes us into ruin, and the retrospective person who admires the ruins. He admires them especially by moonlight, not to say moonshine. Each new blunder of the progressive or prig becomes instantly a legend of immemorial antiquity for the snob. This is called the balance, or mutual check, in our Constitution. </p>						2011-04-22T06:06:37-07:00		55				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	politics.html	politics.html	<cite class='majortitle'>Illustrated London News</cite>, <span class='datepublished'>1924</span>	
Pagan Tuna	G. K. Chesterton	Illustrated London News	3	unknown		1924		Conservatives and Progressives	<p> The whole modern world has divided itself into Conservatives and Progressives. The business of Progressives is to go on making mistakes. The business of Conservatives is to prevent mistakes from being corrected. Even when the revolutionist might himself repent of his revolution, the traditionalist is already defending it as part of his tradition. Thus we have two great types &#8212; the advanced person who rushes us into ruin, and the retrospective person who admires the ruins. He admires them especially by moonlight, not to say moonshine. Each new blunder of the progressive or prig becomes instantly a legend of immemorial antiquity for the snob. This is called the balance, or mutual check, in our Constitution. </p>						2011-04-22T06:06:37-07:00		55				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	pagan-tuna.html	pagan-tuna.html	<cite class='majortitle'>Illustrated London News</cite>, <span class='datepublished'>1924</span>	
Practopian	G. K. Chesterton	Illustrated London News	3	unknown		1924		Conservatives and Progressives	<p> The whole modern world has divided itself into Conservatives and Progressives. The business of Progressives is to go on making mistakes. The business of Conservatives is to prevent mistakes from being corrected. Even when the revolutionist might himself repent of his revolution, the traditionalist is already defending it as part of his tradition. Thus we have two great types &#8212; the advanced person who rushes us into ruin, and the retrospective person who admires the ruins. He admires them especially by moonlight, not to say moonshine. Each new blunder of the progressive or prig becomes instantly a legend of immemorial antiquity for the snob. This is called the balance, or mutual check, in our Constitution. </p>						2011-04-22T06:06:37-07:00		55				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	practopian.html	practopian.html	<cite class='majortitle'>Illustrated London News</cite>, <span class='datepublished'>1924</span>	
humandev	G. K. Chesterton	Illustrated London News	3	unknown		1924		Conservatives and Progressives	<p> The whole modern world has divided itself into Conservatives and Progressives. The business of Progressives is to go on making mistakes. The business of Conservatives is to prevent mistakes from being corrected. Even when the revolutionist might himself repent of his revolution, the traditionalist is already defending it as part of his tradition. Thus we have two great types &#8212; the advanced person who rushes us into ruin, and the retrospective person who admires the ruins. He admires them especially by moonlight, not to say moonshine. Each new blunder of the progressive or prig becomes instantly a legend of immemorial antiquity for the snob. This is called the balance, or mutual check, in our Constitution. </p>						2011-04-22T06:06:37-07:00		55				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	humandev.html	humandev.html	<cite class='majortitle'>Illustrated London News</cite>, <span class='datepublished'>1924</span>	
Progress	G. K. Chesterton	The Thing	3	Book		1929		Taking a Fence Down	<p> In the matter of reforming things, as distinct from deforming them, there is one plain and simple principle; a principle which will probably be called a paradox. There exists in such a case a certain institution or law; let us say, for the sake of simplicity, a fence or gate erected across a road. The more modern type of reformer goes gaily up to it and says, I don't see the use of this; let us clear it away. To which the more intelligent type of reformer will do well to answer: If you don't see the use of it, I certainly won't let you clear it away. Go away and think. Then, when you can come back and tell me that you do see the use of it, I may allow you to destroy it. </p>						2011-04-22T06:14:33-07:00		58				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	progress.html	progress.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Thing</cite>, <span class='datepublished'>1929</span>	
Pagan Tuna	G. K. Chesterton	The Thing	3	Book		1929		Taking a Fence Down	<p> In the matter of reforming things, as distinct from deforming them, there is one plain and simple principle; a principle which will probably be called a paradox. There exists in such a case a certain institution or law; let us say, for the sake of simplicity, a fence or gate erected across a road. The more modern type of reformer goes gaily up to it and says, I don't see the use of this; let us clear it away. To which the more intelligent type of reformer will do well to answer: If you don't see the use of it, I certainly won't let you clear it away. Go away and think. Then, when you can come back and tell me that you do see the use of it, I may allow you to destroy it. </p>						2011-04-22T06:14:33-07:00		58				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Thing</cite>, <span class='datepublished'>1929</span>	
Practopian	G. K. Chesterton	The Thing	3	Book		1929		Taking a Fence Down	<p> In the matter of reforming things, as distinct from deforming them, there is one plain and simple principle; a principle which will probably be called a paradox. There exists in such a case a certain institution or law; let us say, for the sake of simplicity, a fence or gate erected across a road. The more modern type of reformer goes gaily up to it and says, I don't see the use of this; let us clear it away. To which the more intelligent type of reformer will do well to answer: If you don't see the use of it, I certainly won't let you clear it away. Go away and think. Then, when you can come back and tell me that you do see the use of it, I may allow you to destroy it. </p>						2011-04-22T06:14:33-07:00		58				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	practopian.html	practopian.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Thing</cite>, <span class='datepublished'>1929</span>	
Pagan Tuna	G. K. Chesterton	Appreciations and Criticisms of the Works of Charles Dickens	3	unknown		1911		The difference between construction and creation	<p> The whole difference between construction and creation is exactly this: that a thing constructed can only be loved after it is constructed; but a thing created is loved before it exists, as the mother can love the unborn child. </p>			Pickwick Papers			2011-04-22T06:08:09-07:00		61				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	pagan-tuna.html	pagan-tuna.html	<cite class='majortitle'>Appreciations and Criticisms of the Works of Charles Dickens</cite>, <cite class='minortitle'>&#8220;Pickwick Papers&#8221;</cite>, <span class='datepublished'>1911</span>	
Practopian	G. K. Chesterton	Appreciations and Criticisms of the Works of Charles Dickens	3	unknown		1911		The difference between construction and creation	<p> The whole difference between construction and creation is exactly this: that a thing constructed can only be loved after it is constructed; but a thing created is loved before it exists, as the mother can love the unborn child. </p>			Pickwick Papers			2011-04-22T06:08:09-07:00		61				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	practopian.html	practopian.html	<cite class='majortitle'>Appreciations and Criticisms of the Works of Charles Dickens</cite>, <cite class='minortitle'>&#8220;Pickwick Papers&#8221;</cite>, <span class='datepublished'>1911</span>	
Reason to Rock	G. K. Chesterton	Appreciations and Criticisms of the Works of Charles Dickens	3	unknown		1911		The difference between construction and creation	<p> The whole difference between construction and creation is exactly this: that a thing constructed can only be loved after it is constructed; but a thing created is loved before it exists, as the mother can love the unborn child. </p>			Pickwick Papers			2011-04-22T06:08:09-07:00		61				g-k-chesterton	G._K._Chesterton	Chesterton, G. K.	G. K. <strong>Chesterton</strong>	reason-to-rock.html	reason-to-rock.html	<cite class='majortitle'>Appreciations and Criticisms of the Works of Charles Dickens</cite>, <cite class='minortitle'>&#8220;Pickwick Papers&#8221;</cite>, <span class='datepublished'>1911</span>	
Success	Winston Churchill	unknown	3	unknown				We are Doing our Best	<p> It's no use saying, &#8216;We are doing our best.&#8217; You have got to succeed in doing what is necessary. </p>						2011-03-09T06:38:19-08:00		65				winston-churchill	Winston_Churchill	Churchill, Winston	Winston <strong>Churchill</strong>	success.html	success.html		
Pagan Tuna	Winston Churchill	unknown	3	unknown				We are Doing our Best	<p> It's no use saying, &#8216;We are doing our best.&#8217; You have got to succeed in doing what is necessary. </p>						2011-03-09T06:38:19-08:00		65				winston-churchill	Winston_Churchill	Churchill, Winston	Winston <strong>Churchill</strong>	pagan-tuna.html	pagan-tuna.html		
Practopian	Winston Churchill	unknown	3	unknown				We are Doing our Best	<p> It's no use saying, &#8216;We are doing our best.&#8217; You have got to succeed in doing what is necessary. </p>						2011-03-09T06:38:19-08:00		65				winston-churchill	Winston_Churchill	Churchill, Winston	Winston <strong>Churchill</strong>	practopian.html	practopian.html		
Software Development	Alistair Cockburn	Agile Software Development	3	Book	Copyright	2002	0201699699	System Architects as Storytellers	<p> ...system architects act as storytellers. They keep alive the promise and vision of the future system, which is particularly valuable during the confusing early periods of a project. </p>	Pearson Education, Inc					2006-11-30T14:29:31-08:00		66				alistair-cockburn	Alistair_Cockburn	Cockburn, Alistair	Alistair <strong>Cockburn</strong>	software-development.html	software-development.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Agile Software Development</cite>, <span class='datepublished'>2002</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201699699/portablewisdo-20' class='isbn'>0201699699</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2002</span> by <span class='rightsowner'>Pearson Education, Inc</span>
Pagan Tuna	Alistair Cockburn	Agile Software Development	3	Book	Copyright	2002	0201699699	System Architects as Storytellers	<p> ...system architects act as storytellers. They keep alive the promise and vision of the future system, which is particularly valuable during the confusing early periods of a project. </p>	Pearson Education, Inc					2006-11-30T14:29:31-08:00		66				alistair-cockburn	Alistair_Cockburn	Cockburn, Alistair	Alistair <strong>Cockburn</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Agile Software Development</cite>, <span class='datepublished'>2002</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201699699/portablewisdo-20' class='isbn'>0201699699</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2002</span> by <span class='rightsowner'>Pearson Education, Inc</span>
Software Development	Larry Constantine and Lucy Lockwood	Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design	3	Book	Copyright	1999	0201924781	Prototyping No Substitute for Analysis and Design	<p> Prototypes and prototyping are not substitutes for analysis and design, not excuses for sloppy thinking. </p>	the ACM Press					2006-11-30T14:29:31-08:00		67				larry-constantine-and-lucy-lockwood	Larry_Constantine_and_Lucy_Lockwood	Constantine, Larry and Lockwood, Lucy	Larry <strong>Constantine</strong> and Lucy <strong>Lockwood</strong>	software-development.html	software-development.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201924781/portablewisdo-20' class='isbn'>0201924781</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>the ACM Press</span>
Pagan Tuna	Larry Constantine and Lucy Lockwood	Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design	3	Book	Copyright	1999	0201924781	Prototyping No Substitute for Analysis and Design	<p> Prototypes and prototyping are not substitutes for analysis and design, not excuses for sloppy thinking. </p>	the ACM Press					2006-11-30T14:29:31-08:00		67				larry-constantine-and-lucy-lockwood	Larry_Constantine_and_Lucy_Lockwood	Constantine, Larry and Lockwood, Lucy	Larry <strong>Constantine</strong> and Lucy <strong>Lockwood</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201924781/portablewisdo-20' class='isbn'>0201924781</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>the ACM Press</span>
Simplicity	Larry Constantine and Lucy Lockwood	Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design	3	Book	Copyright	1999	0201924781	System Simplification	<p> Developers who return again and again to their work, simplifying it and making it more general-purpose, produce smaller, simpler systems that deliver more to users. </p>	the ACM Press					2006-11-30T14:29:31-08:00		68				larry-constantine-and-lucy-lockwood	Larry_Constantine_and_Lucy_Lockwood	Constantine, Larry and Lockwood, Lucy	Larry <strong>Constantine</strong> and Lucy <strong>Lockwood</strong>	simplicity.html	simplicity.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201924781/portablewisdo-20' class='isbn'>0201924781</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>the ACM Press</span>
Pagan Tuna	Larry Constantine and Lucy Lockwood	Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design	3	Book	Copyright	1999	0201924781	System Simplification	<p> Developers who return again and again to their work, simplifying it and making it more general-purpose, produce smaller, simpler systems that deliver more to users. </p>	the ACM Press					2006-11-30T14:29:31-08:00		68				larry-constantine-and-lucy-lockwood	Larry_Constantine_and_Lucy_Lockwood	Constantine, Larry and Lockwood, Lucy	Larry <strong>Constantine</strong> and Lucy <strong>Lockwood</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201924781/portablewisdo-20' class='isbn'>0201924781</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>the ACM Press</span>
Software Development	Larry Constantine and Lucy Lockwood	Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design	3	Book	Copyright	1999	0201924781	User Interface Architectures	<p> Most user interface designers design screens, windows, and widgets; the best ones design user interface architectures. </p>	the ACM Press					2006-11-30T14:29:31-08:00		69				larry-constantine-and-lucy-lockwood	Larry_Constantine_and_Lucy_Lockwood	Constantine, Larry and Lockwood, Lucy	Larry <strong>Constantine</strong> and Lucy <strong>Lockwood</strong>	software-development.html	software-development.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201924781/portablewisdo-20' class='isbn'>0201924781</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>the ACM Press</span>
Pagan Tuna	Larry Constantine and Lucy Lockwood	Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design	3	Book	Copyright	1999	0201924781	User Interface Architectures	<p> Most user interface designers design screens, windows, and widgets; the best ones design user interface architectures. </p>	the ACM Press					2006-11-30T14:29:31-08:00		69				larry-constantine-and-lucy-lockwood	Larry_Constantine_and_Lucy_Lockwood	Constantine, Larry and Lockwood, Lucy	Larry <strong>Constantine</strong> and Lucy <strong>Lockwood</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201924781/portablewisdo-20' class='isbn'>0201924781</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>the ACM Press</span>
Amateurs	Edmund Crispin	The Case of the Gilded Fly	3	Book		1944	827703392	The Status of Each as an Amateur	<p> It was, however, the status of each as an amateur which accounted for their remarkable success; if they had ever changed places, as a mischievous old don in Fen's college once suggested, Fen would have found the routine police work as intolerable as Sir Richard the niggling niceties of textual criticism; there was a gracious and rather vague sweep about their hobbies which ignored such tedious details. </p>						2012-07-21T15:07:27-07:00		260	London House and Maxwell	Elmsford, New York	17	edmund-crispin	Edmund_Crispin	Crispin, Edmund	Edmund <strong>Crispin</strong>	amateurs.html	amateurs.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Case of the Gilded Fly</cite>, <span class='city'>Elmsford, New York</span>: <span class='publisher'>London House and Maxwell</span>, <span class='datepublished'>1944</span>, page&nbsp;<span class='pages'>17</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/827703392/portablewisdo-20' class='isbn'>827703392</a> 	
Reason to Rock	Edmund Crispin	The Case of the Gilded Fly	3	Book		1944	827703392	The Status of Each as an Amateur	<p> It was, however, the status of each as an amateur which accounted for their remarkable success; if they had ever changed places, as a mischievous old don in Fen's college once suggested, Fen would have found the routine police work as intolerable as Sir Richard the niggling niceties of textual criticism; there was a gracious and rather vague sweep about their hobbies which ignored such tedious details. </p>						2012-07-21T15:07:27-07:00		260	London House and Maxwell	Elmsford, New York	17	edmund-crispin	Edmund_Crispin	Crispin, Edmund	Edmund <strong>Crispin</strong>	reason-to-rock.html	reason-to-rock.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Case of the Gilded Fly</cite>, <span class='city'>Elmsford, New York</span>: <span class='publisher'>London House and Maxwell</span>, <span class='datepublished'>1944</span>, page&nbsp;<span class='pages'>17</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/827703392/portablewisdo-20' class='isbn'>827703392</a> 	
Practopian	Edmund Crispin	The Case of the Gilded Fly	3	Book		1944	827703392	The Status of Each as an Amateur	<p> It was, however, the status of each as an amateur which accounted for their remarkable success; if they had ever changed places, as a mischievous old don in Fen's college once suggested, Fen would have found the routine police work as intolerable as Sir Richard the niggling niceties of textual criticism; there was a gracious and rather vague sweep about their hobbies which ignored such tedious details. </p>						2012-07-21T15:07:27-07:00		260	London House and Maxwell	Elmsford, New York	17	edmund-crispin	Edmund_Crispin	Crispin, Edmund	Edmund <strong>Crispin</strong>	practopian.html	practopian.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Case of the Gilded Fly</cite>, <span class='city'>Elmsford, New York</span>: <span class='publisher'>London House and Maxwell</span>, <span class='datepublished'>1944</span>, page&nbsp;<span class='pages'>17</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/827703392/portablewisdo-20' class='isbn'>827703392</a> 	
Pagan Tuna	Edmund Crispin	The Case of the Gilded Fly	3	Book		1944	827703392	The Status of Each as an Amateur	<p> It was, however, the status of each as an amateur which accounted for their remarkable success; if they had ever changed places, as a mischievous old don in Fen's college once suggested, Fen would have found the routine police work as intolerable as Sir Richard the niggling niceties of textual criticism; there was a gracious and rather vague sweep about their hobbies which ignored such tedious details. </p>						2012-07-21T15:07:27-07:00		260	London House and Maxwell	Elmsford, New York	17	edmund-crispin	Edmund_Crispin	Crispin, Edmund	Edmund <strong>Crispin</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Case of the Gilded Fly</cite>, <span class='city'>Elmsford, New York</span>: <span class='publisher'>London House and Maxwell</span>, <span class='datepublished'>1944</span>, page&nbsp;<span class='pages'>17</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/827703392/portablewisdo-20' class='isbn'>827703392</a> 	
Software Development.Requirements	Alan M. Davis	201 Principles of Software Development	3	Book	Copyright	1995	0070158401	Difficulty of Requirements Discovery	<p> Requirements are hard to understand and harder to specify. The wrong solution to this problem is to do a slipshod job of requirements specification, and rush ahead to design and code.... The right solution is to do whatever it takes to learn as many of the requirements as possible <em>now</em>. Do prototyping. Talk with more customers. Work for a month with a customer to get to know his or her job firsthand. Collect data. Do whatever it takes. </p>	McGraw-Hill, Inc.					2006-11-30T14:29:30-08:00		70				alan-m-davis	Alan_M._Davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	software-development-requirements.html	software-development-requirements.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>201 Principles of Software Development</cite>, <span class='datepublished'>1995</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0070158401/portablewisdo-20' class='isbn'>0070158401</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1995</span> by <span class='rightsowner'>McGraw-Hill, Inc.</span>
Pagan Tuna	Alan M. Davis	201 Principles of Software Development	3	Book	Copyright	1995	0070158401	Difficulty of Requirements Discovery	<p> Requirements are hard to understand and harder to specify. The wrong solution to this problem is to do a slipshod job of requirements specification, and rush ahead to design and code.... The right solution is to do whatever it takes to learn as many of the requirements as possible <em>now</em>. Do prototyping. Talk with more customers. Work for a month with a customer to get to know his or her job firsthand. Collect data. Do whatever it takes. </p>	McGraw-Hill, Inc.					2006-11-30T14:29:30-08:00		70				alan-m-davis	Alan_M._Davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>201 Principles of Software Development</cite>, <span class='datepublished'>1995</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0070158401/portablewisdo-20' class='isbn'>0070158401</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1995</span> by <span class='rightsowner'>McGraw-Hill, Inc.</span>
Software Development.Requirements	Alan M. Davis	Just Enough Requirements Management: Where Software Development Meets Marketing	3	Book	Copyright	2005	0932633641	Just Enough Requirements	<p> If you do not pay enough attention to requirements, you endanger the project's success by introducing too much risk. If you pay too much attention to requirements, you overburden the project and raise the likelihood of being late and over-budget. </p>	Alan M. Davis					2006-11-30T14:29:30-08:00		71				alan-m-davis	Alan_M._Davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	software-development-requirements.html	software-development-requirements.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Just Enough Requirements Management: Where Software Development Meets Marketing</cite>, <span class='datepublished'>2005</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0932633641/portablewisdo-20' class='isbn'>0932633641</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2005</span> by <span class='rightsowner'>Alan M. Davis</span>
Pagan Tuna	Alan M. Davis	Just Enough Requirements Management: Where Software Development Meets Marketing	3	Book	Copyright	2005	0932633641	Just Enough Requirements	<p> If you do not pay enough attention to requirements, you endanger the project's success by introducing too much risk. If you pay too much attention to requirements, you overburden the project and raise the likelihood of being late and over-budget. </p>	Alan M. Davis					2006-11-30T14:29:30-08:00		71				alan-m-davis	Alan_M._Davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Just Enough Requirements Management: Where Software Development Meets Marketing</cite>, <span class='datepublished'>2005</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0932633641/portablewisdo-20' class='isbn'>0932633641</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2005</span> by <span class='rightsowner'>Alan M. Davis</span>
